size,run,method,time_ms
256,1,cpu_pow2,0.0094
256,1,cpu_non_pow2,0.0076
256,1,radixsort_pow2,4.70938
256,1,radixsort_non_pow2,5.80403
256,2,cpu_pow2,0.0095
256,2,cpu_non_pow2,0.0079
256,2,radixsort_pow2,4.58547
256,2,radixsort_non_pow2,6.47066
256,3,cpu_pow2,0.0079
256,3,cpu_non_pow2,0.006
256,3,radixsort_pow2,4.53222
256,3,radixsort_non_pow2,6.80858
256,4,cpu_pow2,0.0095
256,4,cpu_non_pow2,0.0083
256,4,radixsort_pow2,4.57114
256,4,radixsort_non_pow2,6.75328
256,5,cpu_pow2,0.0089
256,5,cpu_non_pow2,0.0065
256,5,radixsort_pow2,5.39341
256,5,radixsort_non_pow2,6.03546
256,6,cpu_pow2,0.0078
256,6,cpu_non_pow2,0.0063
256,6,radixsort_pow2,4.40227
256,6,radixsort_non_pow2,5.99142
256,7,cpu_pow2,0.008
256,7,cpu_non_pow2,0.0066
256,7,radixsort_pow2,6.40614
256,7,radixsort_non_pow2,5.8368
256,8,cpu_pow2,0.0088
256,8,cpu_non_pow2,0.0082
256,8,radixsort_pow2,5.31354
256,8,radixsort_non_pow2,5.72109
256,9,cpu_pow2,0.0082
256,9,cpu_non_pow2,0.0065
256,9,radixsort_pow2,4.53632
256,9,radixsort_non_pow2,6.6601
256,10,cpu_pow2,0.0098
256,10,cpu_non_pow2,0.0074
256,10,radixsort_pow2,5.00842
256,10,radixsort_non_pow2,5.85318
512,1,cpu_pow2,0.0167
512,1,cpu_non_pow2,0.0148
512,1,radixsort_pow2,4.47802
512,1,radixsort_non_pow2,6.31706
512,2,cpu_pow2,0.0203
512,2,cpu_non_pow2,0.0171
512,2,radixsort_pow2,4.81485
512,2,radixsort_non_pow2,5.69549
512,3,cpu_pow2,0.0191
512,3,cpu_non_pow2,0.0178
512,3,radixsort_pow2,5.32173
512,3,radixsort_non_pow2,5.94842
512,4,cpu_pow2,0.0201
512,4,cpu_non_pow2,0.0179
512,4,radixsort_pow2,4.49024
512,4,radixsort_non_pow2,5.3289
512,5,cpu_pow2,0.0203
512,5,cpu_non_pow2,0.0174
512,5,radixsort_pow2,4.59162
512,5,radixsort_non_pow2,6.63757
512,6,cpu_pow2,0.02
512,6,cpu_non_pow2,0.0182
512,6,radixsort_pow2,4.27418
512,6,radixsort_non_pow2,5.46509
512,7,cpu_pow2,0.0203
512,7,cpu_non_pow2,0.0183
512,7,radixsort_pow2,5.72211
512,7,radixsort_non_pow2,6.03341
512,8,cpu_pow2,0.0162
512,8,cpu_non_pow2,0.0144
512,8,radixsort_pow2,4.51789
512,8,radixsort_non_pow2,5.66886
512,9,cpu_pow2,0.0162
512,9,cpu_non_pow2,0.0142
512,9,radixsort_pow2,5.23776
512,9,radixsort_non_pow2,5.89005
512,10,cpu_pow2,0.0168
512,10,cpu_non_pow2,0.0135
512,10,radixsort_pow2,5.26746
512,10,radixsort_non_pow2,5.50093
1024,1,cpu_pow2,0.0417
1024,1,cpu_non_pow2,0.0386
1024,1,radixsort_pow2,8.81971
1024,1,radixsort_non_pow2,10.2728
1024,2,cpu_pow2,0.0336
1024,2,cpu_non_pow2,0.0479
1024,2,radixsort_pow2,9.42285
1024,2,radixsort_non_pow2,9.07878
1024,3,cpu_pow2,0.0401
1024,3,cpu_non_pow2,0.041
1024,3,radixsort_pow2,8.76339
1024,3,radixsort_non_pow2,10.1038
1024,4,cpu_pow2,0.0431
1024,4,cpu_non_pow2,0.0387
1024,4,radixsort_pow2,9.34502
1024,4,radixsort_non_pow2,9.73005
1024,5,cpu_pow2,0.0337
1024,5,cpu_non_pow2,0.0316
1024,5,radixsort_pow2,7.66157
1024,5,radixsort_non_pow2,9.81709
1024,6,cpu_pow2,0.0549
1024,6,cpu_non_pow2,0.0509
1024,6,radixsort_pow2,8.4521
1024,6,radixsort_non_pow2,9.71776
1024,7,cpu_pow2,0.0423
1024,7,cpu_non_pow2,0.0385
1024,7,radixsort_pow2,9.3952
1024,7,radixsort_non_pow2,9.11053
1024,8,cpu_pow2,0.043
1024,8,cpu_non_pow2,0.0397
1024,8,radixsort_pow2,8.20531
1024,8,radixsort_non_pow2,9.35936
1024,9,cpu_pow2,0.0336
1024,9,cpu_non_pow2,0.0317
1024,9,radixsort_pow2,8.71629
1024,9,radixsort_non_pow2,10.0772
1024,10,cpu_pow2,0.0344
1024,10,cpu_non_pow2,0.0317
1024,10,radixsort_pow2,8.26368
1024,10,radixsort_non_pow2,9.7239
2048,1,cpu_pow2,0.0737
2048,1,cpu_non_pow2,0.0701
2048,1,radixsort_pow2,8.03021
2048,1,radixsort_non_pow2,9.72083
2048,2,cpu_pow2,0.0853
2048,2,cpu_non_pow2,0.0668
2048,2,radixsort_pow2,8.35584
2048,2,radixsort_non_pow2,9.8007
2048,3,cpu_pow2,0.2276
2048,3,cpu_non_pow2,0.1111
2048,3,radixsort_pow2,9.31942
2048,3,radixsort_non_pow2,9.73517
2048,4,cpu_pow2,0.0909
2048,4,cpu_non_pow2,0.0867
2048,4,radixsort_pow2,8.6487
2048,4,radixsort_non_pow2,9.82323
2048,5,cpu_pow2,0.0888
2048,5,cpu_non_pow2,0.0864
2048,5,radixsort_pow2,9.14125
2048,5,radixsort_non_pow2,8.57395
2048,6,cpu_pow2,0.0905
2048,6,cpu_non_pow2,0.1036
2048,6,radixsort_pow2,7.86842
2048,6,radixsort_non_pow2,9.74746
2048,7,cpu_pow2,0.0911
2048,7,cpu_non_pow2,0.0883
2048,7,radixsort_pow2,8.03942
2048,7,radixsort_non_pow2,10.2236
2048,8,cpu_pow2,0.09
2048,8,cpu_non_pow2,0.089
2048,8,radixsort_pow2,8.23808
2048,8,radixsort_non_pow2,10.0628
2048,9,cpu_pow2,0.0715
2048,9,cpu_non_pow2,0.0753
2048,9,radixsort_pow2,7.67907
2048,9,radixsort_non_pow2,9.89594
2048,10,cpu_pow2,0.0739
2048,10,cpu_non_pow2,0.1144
2048,10,radixsort_pow2,9.86317
2048,10,radixsort_non_pow2,9.32147
4096,1,cpu_pow2,0.2001
4096,1,cpu_non_pow2,0.1917
4096,1,radixsort_pow2,8.92006
4096,1,radixsort_non_pow2,9.3225
4096,2,cpu_pow2,0.1542
4096,2,cpu_non_pow2,0.1531
4096,2,radixsort_pow2,9.27539
4096,2,radixsort_non_pow2,9.99629
4096,3,cpu_pow2,0.1552
4096,3,cpu_non_pow2,0.1541
4096,3,radixsort_pow2,8.55552
4096,3,radixsort_non_pow2,10.1816
4096,4,cpu_pow2,0.2469
4096,4,cpu_non_pow2,0.1849
4096,4,radixsort_pow2,8.71629
4096,4,radixsort_non_pow2,9.89389
4096,5,cpu_pow2,0.1536
4096,5,cpu_non_pow2,0.1468
4096,5,radixsort_pow2,8.68659
4096,5,radixsort_non_pow2,9.69114
4096,6,cpu_pow2,0.1978
4096,6,cpu_non_pow2,0.2148
4096,6,radixsort_pow2,9.31021
4096,6,radixsort_non_pow2,9.44026
4096,7,cpu_pow2,0.1546
4096,7,cpu_non_pow2,0.1542
4096,7,radixsort_pow2,9.06957
4096,7,radixsort_non_pow2,9.02042
4096,8,cpu_pow2,0.1961
4096,8,cpu_non_pow2,0.1909
4096,8,radixsort_pow2,7.99846
4096,8,radixsort_non_pow2,10.7459
4096,9,cpu_pow2,0.198
4096,9,cpu_non_pow2,0.1913
4096,9,radixsort_pow2,7.69024
4096,9,radixsort_non_pow2,10.4325
4096,10,cpu_pow2,0.1951
4096,10,cpu_non_pow2,0.1883
4096,10,radixsort_pow2,8.25139
4096,10,radixsort_non_pow2,10.3823
8192,1,cpu_pow2,0.476
8192,1,cpu_non_pow2,0.5345
8192,1,radixsort_pow2,8.7255
8192,1,radixsort_non_pow2,9.73414
8192,2,cpu_pow2,0.4344
8192,2,cpu_non_pow2,0.4173
8192,2,radixsort_pow2,8.59136
8192,2,radixsort_non_pow2,9.45152
8192,3,cpu_pow2,0.422
8192,3,cpu_non_pow2,0.4191
8192,3,radixsort_pow2,8.27392
8192,3,radixsort_non_pow2,10.2144
8192,4,cpu_pow2,0.4217
8192,4,cpu_non_pow2,0.3546
8192,4,radixsort_pow2,8.70717
8192,4,radixsort_non_pow2,10.3025
8192,5,cpu_pow2,0.4119
8192,5,cpu_non_pow2,0.4722
8192,5,radixsort_pow2,9.53037
8192,5,radixsort_non_pow2,9.29792
8192,6,cpu_pow2,0.3389
8192,6,cpu_non_pow2,0.3307
8192,6,radixsort_pow2,8.83405
8192,6,radixsort_non_pow2,9.68909
8192,7,cpu_pow2,0.4182
8192,7,cpu_non_pow2,0.4103
8192,7,radixsort_pow2,9.12077
8192,7,radixsort_non_pow2,8.73267
8192,8,cpu_pow2,0.4297
8192,8,cpu_non_pow2,0.3378
8192,8,radixsort_pow2,8.21862
8192,8,radixsort_non_pow2,9.46586
8192,9,cpu_pow2,0.4268
8192,9,cpu_non_pow2,0.4054
8192,9,radixsort_pow2,8.99994
8192,9,radixsort_non_pow2,10.3516
8192,10,cpu_pow2,0.4159
8192,10,cpu_non_pow2,0.4239
8192,10,radixsort_pow2,8.69376
8192,10,radixsort_non_pow2,10.3875
16384,1,cpu_pow2,0.8558
16384,1,cpu_non_pow2,0.8202
16384,1,radixsort_pow2,8.29952
16384,1,radixsort_non_pow2,9.85805
16384,2,cpu_pow2,0.9684
16384,2,cpu_non_pow2,0.7255
16384,2,radixsort_pow2,8.99174
16384,2,radixsort_non_pow2,9.76179
16384,3,cpu_pow2,0.7418
16384,3,cpu_non_pow2,0.7624
16384,3,radixsort_pow2,8.40602
16384,3,radixsort_non_pow2,9.74131
16384,4,cpu_pow2,0.7385
16384,4,cpu_non_pow2,0.7352
16384,4,radixsort_pow2,8.40192
16384,4,radixsort_non_pow2,8.77363
16384,5,cpu_pow2,0.9046
16384,5,cpu_non_pow2,0.7186
16384,5,radixsort_pow2,9.09517
16384,5,radixsort_non_pow2,8.92621
16384,6,cpu_pow2,0.7814
16384,6,cpu_non_pow2,0.7301
16384,6,radixsort_pow2,8.46029
16384,6,radixsort_non_pow2,10.3516
16384,7,cpu_pow2,0.9294
16384,7,cpu_non_pow2,0.7808
16384,7,radixsort_pow2,8.48384
16384,7,radixsort_non_pow2,9.63072
16384,8,cpu_pow2,0.8703
16384,8,cpu_non_pow2,0.7456
16384,8,radixsort_pow2,8.79206
16384,8,radixsort_non_pow2,9.728
16384,9,cpu_pow2,0.9126
16384,9,cpu_non_pow2,0.7382
16384,9,radixsort_pow2,8.23296
16384,9,radixsort_non_pow2,10.8995
16384,10,cpu_pow2,0.7111
16384,10,cpu_non_pow2,0.7135
16384,10,radixsort_pow2,7.80288
16384,10,radixsort_non_pow2,9.70752
32768,1,cpu_pow2,2.0392
32768,1,cpu_non_pow2,1.4586
32768,1,radixsort_pow2,8.13907
32768,1,radixsort_non_pow2,10.1763
32768,2,cpu_pow2,1.7165
32768,2,cpu_non_pow2,1.5264
32768,2,radixsort_pow2,8.54109
32768,2,radixsort_non_pow2,9.51715
32768,3,cpu_pow2,1.7449
32768,3,cpu_non_pow2,1.564
32768,3,radixsort_pow2,8.82499
32768,3,radixsort_non_pow2,9.99238
32768,4,cpu_pow2,1.6377
32768,4,cpu_non_pow2,1.5428
32768,4,radixsort_pow2,8.62384
32768,4,radixsort_non_pow2,9.87574
32768,5,cpu_pow2,1.8314
32768,5,cpu_non_pow2,1.5287
32768,5,radixsort_pow2,8.45795
32768,5,radixsort_non_pow2,10.4574
32768,6,cpu_pow2,1.566
32768,6,cpu_non_pow2,1.5696
32768,6,radixsort_pow2,9.16515
32768,6,radixsort_non_pow2,9.40928
32768,7,cpu_pow2,1.6343
32768,7,cpu_non_pow2,1.5655
32768,7,radixsort_pow2,8.86426
32768,7,radixsort_non_pow2,8.87331
32768,8,cpu_pow2,1.7344
32768,8,cpu_non_pow2,1.5418
32768,8,radixsort_pow2,8.32374
32768,8,radixsort_non_pow2,9.50976
32768,9,cpu_pow2,1.646
32768,9,cpu_non_pow2,1.51
32768,9,radixsort_pow2,9.10112
32768,9,radixsort_non_pow2,9.59808
32768,10,cpu_pow2,1.7292
32768,10,cpu_non_pow2,1.4931
32768,10,radixsort_pow2,8.03283
32768,10,radixsort_non_pow2,9.66461
65536,1,cpu_pow2,3.4814
65536,1,cpu_non_pow2,3.3578
65536,1,radixsort_pow2,7.76166
65536,1,radixsort_non_pow2,9.66013
65536,2,cpu_pow2,3.26
65536,2,cpu_non_pow2,3.2471
65536,2,radixsort_pow2,8.12717
65536,2,radixsort_non_pow2,9.04381
65536,3,cpu_pow2,3.5663
65536,3,cpu_non_pow2,3.3185
65536,3,radixsort_pow2,7.71843
65536,3,radixsort_non_pow2,9.98192
65536,4,cpu_pow2,3.2645
65536,4,cpu_non_pow2,3.2908
65536,4,radixsort_pow2,8.71018
65536,4,radixsort_non_pow2,10.2396
65536,5,cpu_pow2,3.6521
65536,5,cpu_non_pow2,3.9321
65536,5,radixsort_pow2,9.69318
65536,5,radixsort_non_pow2,10.0577
65536,6,cpu_pow2,3.4707
65536,6,cpu_non_pow2,3.2604
65536,6,radixsort_pow2,8.57818
65536,6,radixsort_non_pow2,8.81245
65536,7,cpu_pow2,3.309
65536,7,cpu_non_pow2,3.2483
65536,7,radixsort_pow2,8.09094
65536,7,radixsort_non_pow2,9.34371
65536,8,cpu_pow2,3.398
65536,8,cpu_non_pow2,3.2397
65536,8,radixsort_pow2,8.13494
65536,8,radixsort_non_pow2,10.0073
65536,9,cpu_pow2,3.4635
65536,9,cpu_non_pow2,3.2983
65536,9,radixsort_pow2,8.22051
65536,9,radixsort_non_pow2,8.05741
65536,10,cpu_pow2,3.6104
65536,10,cpu_non_pow2,3.2547
65536,10,radixsort_pow2,7.44486
65536,10,radixsort_non_pow2,9.26691
131072,1,cpu_pow2,7.2689
131072,1,cpu_non_pow2,7.1223
131072,1,radixsort_pow2,23.5286
131072,1,radixsort_non_pow2,10.7708
131072,2,cpu_pow2,6.986
131072,2,cpu_non_pow2,6.7363
131072,2,radixsort_pow2,9.74467
131072,2,radixsort_non_pow2,10.437
131072,3,cpu_pow2,6.9956
131072,3,cpu_non_pow2,6.8577
131072,3,radixsort_pow2,10.255
131072,3,radixsort_non_pow2,10.4286
131072,4,cpu_pow2,7.1561
131072,4,cpu_non_pow2,6.8991
131072,4,radixsort_pow2,8.01344
131072,4,radixsort_non_pow2,10.4806
131072,5,cpu_pow2,6.873
131072,5,cpu_non_pow2,6.9901
131072,5,radixsort_pow2,8.92461
131072,5,radixsort_non_pow2,10.5989
131072,6,cpu_pow2,6.9476
131072,6,cpu_non_pow2,6.8527
131072,6,radixsort_pow2,8.10896
131072,6,radixsort_non_pow2,9.09939
131072,7,cpu_pow2,6.8539
131072,7,cpu_non_pow2,6.8951
131072,7,radixsort_pow2,8.59392
131072,7,radixsort_non_pow2,10.4662
131072,8,cpu_pow2,6.9023
131072,8,cpu_non_pow2,6.8467
131072,8,radixsort_pow2,8.16234
131072,8,radixsort_non_pow2,9.75286
131072,9,cpu_pow2,6.8614
131072,9,cpu_non_pow2,6.898
131072,9,radixsort_pow2,8.07261
131072,9,radixsort_non_pow2,10.7548
131072,10,cpu_pow2,6.8861
131072,10,cpu_non_pow2,6.8388
131072,10,radixsort_pow2,8.73133
131072,10,radixsort_non_pow2,10.1843
262144,1,cpu_pow2,13.7022
262144,1,cpu_non_pow2,13.6261
262144,1,radixsort_pow2,41.0628
262144,1,radixsort_non_pow2,41.5971
262144,2,cpu_pow2,14.1539
262144,2,cpu_non_pow2,13.6582
262144,2,radixsort_pow2,40.7475
262144,2,radixsort_non_pow2,39.2637
262144,3,cpu_pow2,13.928
262144,3,cpu_non_pow2,13.431
262144,3,radixsort_pow2,39.2268
262144,3,radixsort_non_pow2,41.5457
262144,4,cpu_pow2,13.9735
262144,4,cpu_non_pow2,14.0254
262144,4,radixsort_pow2,40.2047
262144,4,radixsort_non_pow2,40.2706
262144,5,cpu_pow2,13.9074
262144,5,cpu_non_pow2,13.3946
262144,5,radixsort_pow2,38.8272
262144,5,radixsort_non_pow2,41.7732
262144,6,cpu_pow2,13.458
262144,6,cpu_non_pow2,13.7582
